Title,Price,Furnished,Bathroom,Carpet Area,Tenant,Status
1 BHK Flat  for Rent in  Bangalore,"₹10,000",Semi-Furnished,1,550 sqft,Bachelors/Family,Immediately
1 BHK Flat  for Rent in  Bangalore,"₹18,000",Semi-Furnished,1,700 sqft,Bachelors/Family,Immediately
"1 BHK Flat  for Rent in Marathahalli, Bangalore",₹19 Cr,Semi-Furnished,1,500 sqft,Bachelors/Family,Immediately
"1 BHK Flat  for Rent in Whitefield, Bangalore","₹6,000",Semi-Furnished,1,600 sqft,Bachelors/Family,Immediately
"1 BHK Flat  for Rent in Btm Layout, Bangalore","₹26,000",Furnished,1,920 sqft,Bachelors,Immediately
"1 BHK Flat  for Rent in Hsr Layout, Bangalore","₹21,000",Semi-Furnished,1,450 sqft,Bachelors/Family,Immediately
"1 BHK Flat  for Rent in Kurubarahalli, Bangalore","₹8,500",Unfurnished,1,400 sqft,Bachelors/Family,Immediately
"1 BHK Flat  for Rent in Vignan Nagar, Bangalore","₹21,000",Semi-Furnished,1,500 sqft,Bachelors/Family,Immediately
"1 BHK Flat  for Rent in Sarjapura, Bangalore","₹30,000",Semi-Furnished,1,447 sqft,Bachelors/Family,Immediately
"1 BHK Flat  for Rent in Vignan Nagar, Bangalore","₹20,000",Semi-Furnished,1,500 sqft,Bachelors,Immediately
"1 BHK Flat  for Rent in Sarjapur Road, Bangalore","₹32,000",Semi-Furnished,1,450 sqft,Bachelors/Family,Immediately
"1 BHK Flat  for Rent in Kambipura, Bangalore","₹8,000",Semi-Furnished,1,500 sqft,Bachelors,Immediately
"1 BHK Flat  for Rent in Bannerghatta Main Road, Bangalore","₹35,000",Furnished,1,600 sqft,Bachelors/Family,Immediately
"1 BHK Flat  for Rent in Varthur Lake Road, Bangalore","₹35,000",Semi-Furnished,1,615 sqft,Bachelors/Family,Immediately
"1 BHK Flat  for Rent in Gunjur, Bangalore","₹14,500",Semi-Furnished,1,500 sqft,Bachelors/Family,Immediately
"1 BHK Flat  for Rent in Virat Nagar, Bommanahalli, Bangalore","₹13,000",Semi-Furnished,1,500 sqft,Bachelors,Immediately
"1 BHK Flat  for Rent in Thanisandra Main Road, Bangalore","₹14,000",Furnished,1,650 sqft,Bachelors,Immediately
"1 BHK Flat  for Rent in Murgesh Pallya, Bangalore","₹30,000",Semi-Furnished,1,693 sqft,Bachelors/Family,Immediately
"1 BHK Flat  for Rent in Vignan Nagar, Bangalore","₹23,000",Semi-Furnished,1,508 sqft,Bachelors,Immediately
"1 BHK Flat  for Rent in Sai Colony, Krishnarajapura, Bangalore","₹17,000",Furnished,1,600 sqft,Bachelors,Immediately
"1 BHK Flat  for Rent in CV Raman Nagar Kaggadasapura, Bangalore","₹24,000",Semi-Furnished,1,500 sqft,Bachelors,Immediately
"1 BHK Flat  for Rent in Electronic City, Bangalore",Call for Price,Unfurnished,1,700 sqft,Bachelors/Family,Immediately
"1 BHK Flat  for Rent in Murgesh Pallya, Bangalore","₹25,000",Semi-Furnished,1,633 sqft,Bachelors/Family,Immediately
"1 BHK Flat  for Rent in Maruthi Sevanagar, Bangalore","₹7,500",Semi-Furnished,1,380 sqft,Bachelors/Family,Immediately
1 BHK Flat  for Rent in  Bangalore,"₹12,000",Furnished,1,350 sqft,Bachelors/Family,Immediately
"1 BHK Flat  for Rent in Marathahalli, Bangalore","₹20,000",Semi-Furnished,1,600 sqft,Bachelors/Family,Immediately
"1 BHK Flat  for Rent in Sarjapura, Bangalore","₹15,000",Furnished,1,532 sqft,Bachelors,Immediately
"1 BHK Flat  for Rent in Arekere, Bangalore","₹15,500",Semi-Furnished,1,480 sqft,Bachelors,Immediately
1 BHK Flat  for Rent in  Bangalore,Call for Price,1,Bachelors/Family,1,Immediately,3
"1 BHK Flat  for Rent in Varthur, Bangalore","₹9,000",Semi-Furnished,1,600 sqft,Bachelors/Family,Immediately
"1 BHK Flat  for Rent in Hulimavu, Bangalore","₹13,000",Semi-Furnished,1,900 sqft,Bachelors/Family,Immediately
"1 BHK Flat  for Rent in Sarjapur Road, Bangalore","₹25,000",Semi-Furnished,1,640 sqft,Bachelors,Immediately
"1 BHK Flat  for Rent in Murgesh Pallya, Bangalore","₹22,000",Semi-Furnished,1,613 sqft,Bachelors/Family,Immediately
"1 BHK Flat  for Rent in Doddajala, Bangalore-Hyderabad Hwy, Bangalore","₹6,000",Unfurnished,1,400 sqft,Bachelors/Family,Immediately
"1 BHK Flat  for Rent in Whitefield, Bangalore","₹32,000",Semi-Furnished,1,670 sqft,Bachelors/Family,Immediately
"1 BHK Flat  for Rent in J P Nagar, Bangalore","₹12,000",Furnished,1,810 sqft,Bachelors/Family,Immediately
1 BHK Flat  for Rent in  Bangalore,Call for Price,Semi-Furnished,1,400 sqft,Bachelors,Immediately
"1 BHK Flat  for Rent in Whitefield, Bangalore","₹45,000",Semi-Furnished,1,372 sqft,Bachelors,Immediately
"1 BHK Flat  for Rent in Whitefield, Bangalore","₹14,000",Furnished,1,650 sqft,Bachelors,Immediately
